PurchaseID,Date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35
216,4/22/2000,flour,waffles,shampoo,mixes,vegetables,shampoo,flour,waffles,soda,sandwich loaves,vegetables,sandwich loaves,soap,laundry detergent,vegetables,milk,juice,vegetables,ice cream,spaghetti sauce,coffee/tea,cheeses,vegetables,pork,soap,cereals,individual meals,dishwashing liquid/detergent,dinner rolls,all- purpose,soap,lunch meat,,,
217,4/22/2000,hand soap,sugar,coffee/tea,all- purpose,juice,mixes,soda,yogurt,vegetables,all- purpose,cereals,soap,soda,hand soap,vegetables,milk,toilet paper,juice,vegetables,eggs,yogurt,spaghetti sauce,hand soap,soap,,,,,,,,,,,
218,4/23/2000,cheeses,individual meals,juice,individual meals,vegetables,vegetables,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,4/23/2000,juice,bagels,spaghetti sauce,beef,sandwich loaves,fruits,laundry detergent,ice cream,cereals,lunch meat,poultry,bagels,all- purpose,paper towels,pasta,bagels,flour,eggs,bagels,mixes,vegetables,poultry,milk,dishwashing liquid/detergent,cheeses,,,,,,,,,,
220,4/24/2000,sandwich loaves,juice,dishwashing liquid/detergent,milk,individual meals,spaghetti sauce,toilet paper,flour,yogurt,waffles,tortillas,fruits,paper towels,cereals,pasta,spaghetti sauce,lunch meat,milk,soap,ice cream,bagels,aluminum foil,sandwich loaves,juice,waffles,flour,ice cream,,,,,,,,
221,4/25/2000,all- purpose,pasta,eggs,shampoo,sugar,paper towels,ketchup,poultry,sugar,soda,butter,paper towels,pasta,waffles,lunch meat,paper towels,ketchup,vegetables,yogurt,soap,paper towels,vegetables,tortillas,ketchup,beef,dishwashing liquid/detergent,dinner rolls,cereals,mixes,fruits,vegetables,,,,
222,4/26/2000,sugar,cheeses,butter,aluminum foil,vegetables,vegetables,poultry,hand soap,toilet paper,ice cream,sugar,mixes,vegetables,vegetables,milk,,,,,,,,,,,,,,,,,,,,
223,4/26/2000,all- purpose,butter,spaghetti sauce,hand soap,soap,sandwich bags,ketchup,ice cream,waffles,flour,pasta,soap,pasta,all- purpose,dishwashing liquid/detergent,laundry detergent,,,,,,,,,,,,,,,,,,,
224,4/27/2000,poultry,bagels,fruits,mixes,vegetables,tortillas,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4/27/2000,vegetables,milk,bagels,pork,yogurt,ice cream,eggs,individual meals,soda,vegetables,pasta,pork,waffles,waffles,pork,spaghetti sauce,dishwashing liquid/detergent,juice,bagels,,,,,,,,,,,,,,,,
226,4/27/2000,milk,fruits,spaghetti sauce,pasta,mixes,pasta,fruits,dishwashing liquid/detergent,juice,aluminum foil,flour,individual meals,yogurt,ketchup,fruits,toilet paper,eggs,flour,hand soap,milk,dinner rolls,laundry detergent,eggs,toilet paper,juice,dinner rolls,toilet paper,all- purpose,shampoo,beef,cheeses,all- purpose,coffee/tea,juice,
227,4/28/2000,vegetables,eggs,cheeses,cereals,juice,hand soap,soap,soap,yogurt,pork,vegetables,dishwashing liquid/detergent,vegetables,beef,bagels,cheeses,paper towels,,,,,,,,,,,,,,,,,,
228,4/29/2000,all- purpose,butter,all- purpose,dinner rolls,vegetables,beef,vegetables,milk,laundry detergent,,,,,,,,,,,,,,,,,,,,,,,,,,
229,4/30/2000,spaghetti sauce,soda,bagels,poultry,vegetables,tortillas,milk,soap,yogurt,lunch meat,lunch meat,lunch meat,,,,,,,,,,,,,,,,,,,,,,,
230,4/30/2000,all- purpose,individual meals,poultry,individual meals,soda,dishwashing liquid/detergent,eggs,pork,coffee/tea,hand soap,beef,ice cream,dinner rolls,lunch meat,individual meals,ice cream,vegetables,vegetables,poultry,,,,,,,,,,,,,,,,
231,5/1/2000,paper towels,pasta,cereals,individual meals,vegetables,toilet paper,coffee/tea,toilet paper,mixes,fruits,vegetables,shampoo,soap,toilet paper,soap,dinner rolls,dinner rolls,pasta,vegetables,soda,pasta,ice cream,pasta,hand soap,soda,,,,,,,,,,
232,5/1/2000,milk,sandwich loaves,eggs,soap,pasta,vegetables,dinner rolls,paper towels,soda,coffee/tea,poultry,cheeses,vegetables,spaghetti sauce,butter,shampoo,hand soap,,,,,,,,,,,,,,,,,,
233,5/2/2000,vegetables,juice,cereals,lunch meat,waffles,ketchup,pasta,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,5/3/2000,flour,beef,sandwich bags,shampoo,fruits,cheeses,flour,laundry detergent,waffles,vegetables,soap,waffles,eggs,individual meals,eggs,aluminum foil,milk,beef,yogurt,juice,vegetables,ketchup,cereals,individual meals,soap,sugar,individual meals,coffee/tea,sandwich bags,pasta,vegetables,,,,
235,5/3/2000,shampoo,spaghetti sauce,flour,milk,beef,laundry detergent,tortillas,cereals,coffee/tea,sandwich loaves,beef,toilet paper,milk,yogurt,soda,soda,vegetables,beef,cereals,sandwich bags,all- purpose,spaghetti sauce,flour,dinner rolls,toilet paper,toilet paper,waffles,yogurt,individual meals,soda,soap,cheeses,lunch meat,,
236,5/4/2000,laundry detergent,individual meals,lunch meat,soda,vegetables,sugar,mixes,vegetables,dishwashing liquid/detergent,poultry,bagels,coffee/tea,hand soap,sugar,spaghetti sauce,sandwich bags,,,,,,,,,,,,,,,,,,,
237,5/4/2000,sandwich bags,sugar,yogurt,butter,milk,poultry,hand soap,mixes,bagels,tortillas,vegetables,spaghetti sauce,flour,eggs,poultry,mixes,vegetables,poultry,hand soap,coffee/tea,waffles,eggs,sandwich loaves,ice cream,ketchup,sugar,bagels,milk,toilet paper,milk,dinner rolls,beef,flour,,
238,5/5/2000,juice,lunch meat,pasta,laundry detergent,sandwich loaves,vegetables,poultry,yogurt,laundry detergent,sandwich bags,aluminum foil,vegetables,tortillas,milk,soap,sandwich loaves,juice,hand soap,coffee/tea,vegetables,,,,,,,,,,,,,,,
239,5/5/2000,poultry,sandwich loaves,toilet paper,yogurt,fruits,butter,cereals,vegetables,waffles,beef,lunch meat,paper towels,mixes,paper towels,dinner rolls,tortillas,bagels,,,,,,,,,,,,,,,,,,
240,5/5/2000,eggs,waffles,juice,lunch meat,vegetables,shampoo,dinner rolls,all- purpose,sandwich loaves,hand soap,waffles,spaghetti sauce,shampoo,fruits,eggs,tortillas,,,,,,,,,,,,,,,,,,,
241,5/5/2000,paper towels,flour,waffles,soap,vegetables,tortillas,fruits,sugar,paper towels,lunch meat,lunch meat,spaghetti sauce,poultry,,,,,,,,,,,,,,,,,,,,,,
242,5/5/2000,eggs,vegetables,flour,milk,soda,laundry detergent,yogurt,cheeses,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
243,5/5/2000,butter,butter,poultry,aluminum foil,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,5/6/2000,vegetables,yogurt,cereals,sandwich bags,laundry detergent,fruits,flour,soda,sandwich loaves,fruits,aluminum foil,individual meals,coffee/tea,spaghetti sauce,mixes,tortillas,spaghetti sauce,all- purpose,sugar,ice cream,,,,,,,,,,,,,,,
245,5/7/2000,butter,dinner rolls,dishwashing liquid/detergent,paper towels,eggs,pasta,ice cream,ketchup,sugar,flour,pasta,all- purpose,yogurt,pork,cereals,cereals,aluminum foil,beef,aluminum foil,dinner rolls,mixes,laundry detergent,paper towels,ice cream,sugar,,,,,,,,,,
246,5/7/2000,paper towels,bagels,juice,cereals,mixes,fruits,individual meals,aluminum foil,sandwich loaves,laundry detergent,paper towels,all- purpose,ice cream,cereals,soap,aluminum foil,paper towels,cheeses,sandwich bags,toilet paper,butter,vegetables,milk,beef,fruits,sandwich bags,poultry,all- purpose,,,,,,,
247,5/8/2000,fruits,pork,beef,vegetables,coffee/tea,cheeses,butter,bagels,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,
248,5/9/2000,laundry detergent,soda,beef,juice,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,5/9/2000,sandwich loaves,fruits,individual meals,vegetables,spaghetti sauce,hand soap,sandwich loaves,vegetables,sugar,pork,laundry detergent,sandwich loaves,dishwashing liquid/detergent,yogurt,bagels,soap,aluminum foil,,,,,,,,,,,,,,,,,,
250,5/9/2000,bagels,sandwich loaves,bagels,pasta,toilet paper,ketchup,shampoo,beef,poultry,milk,beef,laundry detergent,juice,sugar,all- purpose,cheeses,fruits,hand soap,laundry detergent,yogurt,,,,,,,,,,,,,,,
251,5/10/2000,cheeses,soap,yogurt,sandwich loaves,waffles,hand soap,poultry,toilet paper,toilet paper,,,,,,,,,,,,,,,,,,,,,,,,,,
252,5/10/2000,sugar,spaghetti sauce,sandwich bags,ice cream,yogurt,bagels,tortillas,all- purpose,sandwich bags,ice cream,eggs,individual meals,butter,mixes,all- purpose,ketchup,spaghetti sauce,tortillas,milk,laundry detergent,all- purpose,butter,ketchup,cereals,dinner rolls,dishwashing liquid/detergent,pork,poultry,soda,ice cream,vegetables,soda,soda,,
253,5/10/2000,ketchup,hand soap,ice cream,vegetables,bagels,milk,aluminum foil,dinner rolls,toilet paper,yogurt,ketchup,bagels,pasta,soap,beef,yogurt,yogurt,hand soap,fruits,dinner rolls,vegetables,dishwashing liquid/detergent,vegetables,soap,beef,ice cream,individual meals,pasta,beef,aluminum foil,yogurt,dinner rolls,vegetables,sandwich loaves,
254,5/11/2000,sandwich bags,sugar,mixes,vegetables,poultry,waffles,pork,sandwich bags,toilet paper,all- purpose,tortillas,dinner rolls,hand soap,,,,,,,,,,,,,,,,,,,,,,
255,5/11/2000,fruits,eggs,mixes,lunch meat,fruits,coffee/tea,yogurt,aluminum foil,flour,,,,,,,,,,,,,,,,,,,,,,,,,,
256,5/12/2000,hand soap,poultry,soap,butter,sandwich bags,beef,milk,all- purpose,pasta,dinner rolls,,,,,,,,,,,,,,,,,,,,,,,,,
257,5/13/2000,yogurt,bagels,tortillas,dinner rolls,flour,vegetables,ketchup,juice,toilet paper,milk,all- purpose,spaghetti sauce,shampoo,spaghetti sauce,hand soap,lunch meat,mixes,aluminum foil,ketchup,sandwich loaves,eggs,pork,toilet paper,eggs,beef,butter,toilet paper,flour,tortillas,waffles,vegetables,coffee/tea,beef,dishwashing liquid/detergent,
258,5/14/2000,vegetables,waffles,laundry detergent,pasta,toilet paper,juice,sugar,milk,cereals,flour,soda,,,,,,,,,,,,,,,,,,,,,,,,
259,5/14/2000,flour,paper towels,pork,cereals,fruits,aluminum foil,bagels,butter,dishwashing liquid/detergent,aluminum foil,eggs,lunch meat,flour,laundry detergent,vegetables,coffee/tea,vegetables,vegetables,ketchup,hand soap,yogurt,vegetables,fruits,pork,soap,dishwashing liquid/detergent,,,,,,,,,
260,5/15/2000,butter,butter,individual meals,cereals,toilet paper,individual meals,soda,waffles,juice,butter,sandwich loaves,individual meals,yogurt,soda,,,,,,,,,,,,,,,,,,,,,
261,5/15/2000,vegetables,ketchup,flour,pasta,soda,pork,hand soap,eggs,sandwich bags,soap,juice,cheeses,cereals,dishwashing liquid/detergent,lunch meat,dinner rolls,flour,cereals,paper towels,vegetables,individual meals,dinner rolls,bagels,flour,ice cream,butter,individual meals,waffles,lunch meat,pork,beef,,,,
262,5/15/2000,poultry,cereals,dinner rolls,juice,aluminum foil,fruits,spaghetti sauce,milk,ice cream,hand soap,cheeses,ketchup,milk,lunch meat,cereals,coffee/tea,juice,juice,fruits,cereals,coffee/tea,coffee/tea,hand soap,coffee/tea,sugar,aluminum foil,all- purpose,yogurt,mixes,ice cream,,,,,
263,5/16/2000,vegetables,shampoo,beef,sugar,mixes,pasta,toilet paper,eggs,dinner rolls,poultry,soap,laundry detergent,spaghetti sauce,laundry detergent,cereals,sandwich loaves,hand soap,,,,,,,,,,,,,,,,,,
264,5/17/2000,paper towels,vegetables,ice cream,fruits,ketchup,ketchup,laundry detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,5/17/2000,fruits,vegetables,waffles,mixes,vegetables,bagels,dishwashing liquid/detergent,sandwich loaves,all- purpose,vegetables,waffles,dinner rolls,sugar,aluminum foil,waffles,bagels,,,,,,,,,,,,,,,,,,,
266,5/17/2000,ketchup,vegetables,all- purpose,coffee/tea,ketchup,ketchup,hand soap,shampoo,fruits,individual meals,eggs,sandwich bags,cheeses,cereals,yogurt,laundry detergent,lunch meat,,,,,,,,,,,,,,,,,,
267,5/17/2000,cereals,toilet paper,tortillas,lunch meat,eggs,beef,soda,poultry,ketchup,butter,juice,,,,,,,,,,,,,,,,,,,,,,,,
268,5/17/2000,dishwashing liquid/detergent,beef,pasta,coffee/tea,vegetables,toilet paper,beef,individual meals,cheeses,eggs,eggs,spaghetti sauce,tortillas,waffles,vegetables,poultry,fruits,soda,lunch meat,beef,waffles,sandwich loaves,butter,soap,poultry,soda,,,,,,,,,
269,5/17/2000,cheeses,sandwich bags,butter,cheeses,paper towels,bagels,cereals,sandwich bags,bagels,poultry,mixes,spaghetti sauce,sandwich loaves,aluminum foil,shampoo,butter,soda,mixes,hand soap,ketchup,mixes,poultry,cereals,vegetables,cheeses,flour,,,,,,,,,
270,5/17/2000,yogurt,spaghetti sauce,vegetables,soda,mixes,fruits,aluminum foil,pork,vegetables,shampoo,juice,beef,waffles,paper towels,tortillas,tortillas,mixes,waffles,waffles,soda,ice cream,poultry,soda,juice,toilet paper,tortillas,vegetables,soda,lunch meat,coffee/tea,soda,,,,
271,5/18/2000,lunch meat,sugar,vegetables,waffles,milk,shampoo,hand soap,laundry detergent,eggs,eggs,vegetables,milk,butter,milk,poultry,tortillas,,,,,,,,,,,,,,,,,,,
272,5/18/2000,coffee/tea,hand soap,ketchup,fruits,all- purpose,fruits,sugar,vegetables,vegetables,soda,cereals,soda,sugar,cheeses,individual meals,juice,waffles,sandwich loaves,paper towels,ice cream,beef,,,,,,,,,,,,,,
273,5/19/2000,cheeses,paper towels,juice,tortillas,yogurt,soda,vegetables,yogurt,sandwich bags,vegetables,all- purpose,laundry detergent,hand soap,sandwich loaves,butter,sandwich loaves,waffles,vegetables,yogurt,pork,tortillas,soda,aluminum foil,butter,dishwashing liquid/detergent,mixes,pork,all- purpose,shampoo,ice cream,,,,,
274,5/20/2000,beef,toilet paper,ketchup,pasta,pasta,beef,dishwashing liquid/detergent,shampoo,vegetables,eggs,coffee/tea,flour,ketchup,vegetables,sandwich loaves,shampoo,soap,cereals,sandwich loaves,yogurt,butter,all- purpose,ketchup,waffles,eggs,butter,lunch meat,cereals,aluminum foil,mixes,coffee/tea,vegetables,,,
275,5/20/2000,laundry detergent,laundry detergent,paper towels,tortillas,paper towels,soap,milk,lunch meat,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,5/21/2000,tortillas,dishwashing liquid/detergent,dishwashing liquid/detergent,yogurt,individual meals,paper towels,poultry,pork,sandwich bags,laundry detergent,cereals,milk,bagels,poultry,butter,paper towels,bagels,paper towels,bagels,all- purpose,fruits,dinner rolls,butter,beef,all- purpose,spaghetti sauce,yogurt,,,,,,,,
277,5/21/2000,cereals,dinner rolls,poultry,hand soap,cereals,spaghetti sauce,tortillas,beef,sandwich loaves,,,,,,,,,,,,,,,,,,,,,,,,,,
278,5/21/2000,lunch meat,ketchup,beef,sugar,yogurt,dishwashing liquid/detergent,poultry,lunch meat,poultry,bagels,toilet paper,eggs,laundry detergent,dinner rolls,dinner rolls,cereals,eggs,ice cream,lunch meat,butter,soda,waffles,cereals,paper towels,milk,laundry detergent,lunch meat,pasta,milk,vegetables,,,,,
279,5/21/2000,dishwashing liquid/detergent,pasta,shampoo,sugar,eggs,spaghetti sauce,vegetables,soap,coffee/tea,all- purpose,laundry detergent,all- purpose,cheeses,pasta,sandwich bags,paper towels,butter,soap,vegetables,individual meals,,,,,,,,,,,,,,,
280,5/22/2000,vegetables,sandwich loaves,cereals,aluminum foil,pork,dishwashing liquid/detergent,poultry,mixes,dinner rolls,,,,,,,,,,,,,,,,,,,,,,,,,,
281,5/22/2000,aluminum foil,shampoo,individual meals,bagels,dinner rolls,vegetables,juice,dishwashing liquid/detergent,tortillas,poultry,fruits,pasta,poultry,toilet paper,waffles,eggs,dishwashing liquid/detergent,sugar,soap,ice cream,paper towels,cheeses,,,,,,,,,,,,,
282,5/23/2000,poultry,soap,pork,tortillas,toilet paper,beef,shampoo,juice,aluminum foil,,,,,,,,,,,,,,,,,,,,,,,,,,
283,5/24/2000,lunch meat,lunch meat,ice cream,vegetables,waffles,soap,tortillas,paper towels,beef,tortillas,pasta,yogurt,waffles,cheeses,,,,,,,,,,,,,,,,,,,,,
284,5/24/2000,cereals,flour,toilet paper,vegetables,cereals,mixes,milk,vegetables,aluminum foil,spaghetti sauce,vegetables,laundry detergent,mixes,sandwich bags,cheeses,mixes,butter,spaghetti sauce,soap,tortillas,dishwashing liquid/detergent,butter,cereals,ketchup,flour,cheeses,cereals,cereals,,,,,,,
285,5/25/2000,fruits,vegetables,waffles,soap,ketchup,flour,vegetables,yogurt,pasta,coffee/tea,flour,toilet paper,cereals,bagels,flour,aluminum foil,coffee/tea,cheeses,pork,spaghetti sauce,ice cream,tortillas,lunch meat,flour,soda,laundry detergent,individual meals,tortillas,hand soap,bagels,hand soap,tortillas,aluminum foil,vegetables,
286,5/26/2000,aluminum foil,waffles,ketchup,yogurt,sandwich bags,soda,lunch meat,beef,shampoo,pork,dinner rolls,sandwich bags,pasta,hand soap,vegetables,vegetables,milk,toilet paper,paper towels,paper towels,,,,,,,,,,,,,,,
287,5/27/2000,paper towels,dishwashing liquid/detergent,vegetables,laundry detergent,spaghetti sauce,individual meals,coffee/tea,fruits,lunch meat,sandwich bags,milk,cereals,cereals,dinner rolls,vegetables,spaghetti sauce,vegetables,individual meals,,,,,,,,,,,,,,,,,
288,5/27/2000,milk,beef,sandwich bags,soap,bagels,paper towels,cheeses,cereals,butter,shampoo,tortillas,soda,dinner rolls,poultry,shampoo,butter,ice cream,,,,,,,,,,,,,,,,,,
289,5/27/2000,flour,laundry detergent,milk,lunch meat,waffles,waffles,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,5/28/2000,ketchup,juice,bagels,shampoo,soda,cheeses,sandwich loaves,mixes,pork,beef,yogurt,spaghetti sauce,,,,,,,,,,,,,,,,,,,,,,,
291,5/29/2000,vegetables,shampoo,vegetables,sandwich loaves,sandwich loaves,tortillas,cereals,mixes,dishwashing liquid/detergent,sandwich loaves,,,,,,,,,,,,,,,,,,,,,,,,,
292,5/29/2000,sandwich bags,vegetables,eggs,all- purpose,vegetables,sandwich bags,paper towels,cereals,paper towels,ketchup,yogurt,cereals,eggs,toilet paper,hand soap,sandwich loaves,poultry,beef,fruits,milk,individual meals,ice cream,all- purpose,pasta,,,,,,,,,,,
293,5/30/2000,sandwich bags,all- purpose,paper towels,toilet paper,juice,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,5/30/2000,flour,coffee/tea,vegetables,ketchup,shampoo,sandwich bags,cereals,milk,butter,butter,laundry detergent,hand soap,coffee/tea,,,,,,,,,,,,,,,,,,,,,,
295,5/31/2000,juice,bagels,coffee/tea,shampoo,shampoo,waffles,toilet paper,toilet paper,juice,eggs,all- purpose,ketchup,sugar,shampoo,sugar,,,,,,,,,,,,,,,,,,,,
296,5/31/2000,vegetables,eggs,waffles,waffles,vegetables,milk,butter,pork,cheeses,eggs,mixes,vegetables,,,,,,,,,,,,,,,,,,,,,,,
297,5/31/2000,sandwich bags,cereals,fruits,butter,individual meals,ketchup,pork,coffee/tea,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
298,6/1/2000,shampoo,pork,sandwich bags,sandwich loaves,beef,cereals,hand soap,tortillas,beef,cereals,cereals,eggs,mixes,juice,paper towels,all- purpose,toilet paper,tortillas,,,,,,,,,,,,,,,,,
299,6/2/2000,butter,sandwich bags,beef,soda,sandwich loaves,milk,flour,laundry detergent,individual meals,lunch meat,beef,eggs,spaghetti sauce,,,,,,,,,,,,,,,,,,,,,,
300,6/3/2000,individual meals,paper towels,butter,dinner rolls,shampoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,6/3/2000,ice cream,ice cream,all- purpose,sandwich loaves,sandwich loaves,soap,butter,individual meals,lunch meat,coffee/tea,coffee/tea,dinner rolls,individual meals,,,,,,,,,,,,,,,,,,,,,,
302,6/3/2000,mixes,butter,mixes,beef,spaghetti sauce,tortillas,individual meals,beef,coffee/tea,butter,pork,soda,ketchup,mixes,mixes,bagels,,,,,,,,,,,,,,,,,,,
303,6/4/2000,vegetables,coffee/tea,cheeses,sandwich bags,dinner rolls,waffles,vegetables,sandwich bags,dishwashing liquid/detergent,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
304,6/4/2000,spaghetti sauce,poultry,coffee/tea,vegetables,tortillas,hand soap,all- purpose,sugar,paper towels,coffee/tea,pasta,vegetables,all- purpose,ketchup,toilet paper,juice,sandwich bags,eggs,dinner rolls,bagels,toilet paper,vegetables,sugar,flour,soap,laundry detergent,pork,mixes,,,,,,,
305,6/4/2000,coffee/tea,butter,vegetables,soda,hand soap,hand soap,laundry detergent,sugar,butter,aluminum foil,soda,soap,soap,coffee/tea,sandwich loaves,soda,individual meals,sugar,aluminum foil,tortillas,vegetables,shampoo,pasta,sugar,fruits,milk,hand soap,fruits,laundry detergent,vegetables,,,,,
306,6/4/2000,eggs,pork,vegetables,beef,mixes,ketchup,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,6/5/2000,bagels,sandwich bags,flour,sugar,beef,individual meals,cheeses,pasta,vegetables,fruits,dishwashing liquid/detergent,yogurt,spaghetti sauce,paper towels,spaghetti sauce,butter,mixes,sandwich loaves,hand soap,cheeses,tortillas,vegetables,ice cream,,,,,,,,,,,,
308,6/6/2000,pasta,sandwich bags,dishwashing liquid/detergent,mixes,tortillas,dinner rolls,shampoo,all- purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,6/6/2000,laundry detergent,juice,pasta,fruits,lunch meat,spaghetti sauce,eggs,laundry detergent,poultry,vegetables,pasta,bagels,vegetables,pasta,cereals,pork,pork,sugar,sandwich bags,all- purpose,paper towels,cheeses,butter,shampoo,aluminum foil,,,,,,,,,,
310,6/6/2000,vegetables,sandwich loaves,spaghetti sauce,milk,yogurt,eggs,laundry detergent,fruits,waffles,soap,ice cream,vegetables,laundry detergent,waffles,all- purpose,pasta,spaghetti sauce,waffles,milk,shampoo,shampoo,fruits,soap,mixes,milk,,,,,,,,,,
311,6/7/2000,cereals,sugar,lunch meat,sandwich loaves,bagels,waffles,sandwich bags,hand soap,soda,beef,cheeses,sugar,coffee/tea,soap,butter,poultry,tortillas,eggs,aluminum foil,sugar,yogurt,coffee/tea,laundry detergent,shampoo,milk,paper towels,poultry,beef,shampoo,ice cream,pork,pasta,,,
312,6/7/2000,beef,sugar,dishwashing liquid/detergent,dinner rolls,toilet paper,spaghetti sauce,beef,beef,laundry detergent,milk,beef,individual meals,soap,sugar,,,,,,,,,,,,,,,,,,,,,
313,6/8/2000,sugar,flour,cereals,dinner rolls,pasta,cheeses,vegetables,mixes,ice cream,lunch meat,laundry detergent,paper towels,eggs,sugar,,,,,,,,,,,,,,,,,,,,,
314,6/9/2000,soap,ice cream,pork,paper towels,pasta,soap,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,6/10/2000,pasta,shampoo,spaghetti sauce,spaghetti sauce,dinner rolls,hand soap,cheeses,aluminum foil,flour,waffles,laundry detergent,paper towels,bagels,butter,individual meals,paper towels,eggs,vegetables,coffee/tea,paper towels,fruits,,,,,,,,,,,,,,
316,6/10/2000,vegetables,cereals,toilet paper,vegetables,sugar,all- purpose,fruits,shampoo,tortillas,flour,laundry detergent,sugar,,,,,,,,,,,,,,,,,,,,,,,
317,6/11/2000,pasta,waffles,tortillas,vegetables,ice cream,tortillas,dishwashing liquid/detergent,individual meals,soda,soap,fruits,sugar,aluminum foil,hand soap,coffee/tea,lunch meat,eggs,cheeses,toilet paper,butter,eggs,beef,poultry,beef,vegetables,spaghetti sauce,vegetables,pasta,pasta,aluminum foil,hand soap,,,,
318,6/12/2000,sandwich loaves,cheeses,eggs,shampoo,pork,pork,shampoo,shampoo,ketchup,waffles,sandwich bags,,,,,,,,,,,,,,,,,,,,,,,,
319,6/13/2000,pork,spaghetti sauce,sandwich bags,cereals,beef,lunch meat,lunch meat,soap,dishwashing liquid/detergent,poultry,dinner rolls,cereals,vegetables,,,,,,,,,,,,,,,,,,,,,,
320,6/13/2000,waffles,cheeses,pasta,laundry detergent,pork,laundry detergent,all- purpose,toilet paper,pork,all- purpose,vegetables,sandwich bags,,,,,,,,,,,,,,,,,,,,,,,
321,6/13/2000,soda,individual meals,butter,dishwashing liquid/detergent,lunch meat,cheeses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,6/14/2000,ketchup,individual meals,flour,juice,milk,vegetables,shampoo,cereals,paper towels,vegetables,laundry detergent,paper towels,all- purpose,coffee/tea,hand soap,ice cream,cheeses,cheeses,mixes,yogurt,poultry,ketchup,pasta,poultry,vegetables,sandwich loaves,vegetables,toilet paper,vegetables,ketchup,tortillas,aluminum foil,shampoo,,
323,6/14/2000,ice cream,ketchup,flour,vegetables,cereals,cereals,bagels,lunch meat,hand soap,coffee/tea,sandwich bags,sandwich bags,all- purpose,eggs,coffee/tea,bagels,dinner rolls,,,,,,,,,,,,,,,,,,
324,6/15/2000,pasta,bagels,beef,vegetables,tortillas,dinner rolls,toilet paper,aluminum foil,vegetables,fruits,vegetables,pork,cheeses,coffee/tea,milk,sugar,poultry,toilet paper,spaghetti sauce,lunch meat,,,,,,,,,,,,,,,
325,6/15/2000,tortillas,individual meals,individual meals,poultry,fruits,soda,dishwashing liquid/detergent,cereals,aluminum foil,aluminum foil,pork,ice cream,vegetables,lunch meat,,,,,,,,,,,,,,,,,,,,,
326,6/16/2000,waffles,individual meals,vegetables,pork,tortillas,sandwich bags,aluminum foil,individual meals,coffee/tea,cheeses,bagels,eggs,soda,flour,yogurt,ice cream,poultry,pork,flour,milk,aluminum foil,cheeses,vegetables,soda,sandwich loaves,cereals,paper towels,pasta,beef,coffee/tea,yogurt,vegetables,,,
327,6/17/2000,ice cream,mixes,poultry,vegetables,toilet paper,laundry detergent,sugar,poultry,aluminum foil,hand soap,cereals,cheeses,coffee/tea,beef,bagels,individual meals,ice cream,pasta,pasta,vegetables,ketchup,juice,aluminum foil,paper towels,beef,lunch meat,shampoo,waffles,shampoo,sandwich loaves,sandwich bags,,,,
328,6/17/2000,coffee/tea,sugar,beef,sugar,soap,waffles,paper towels,waffles,cheeses,sandwich bags,paper towels,cheeses,fruits,sandwich loaves,aluminum foil,ice cream,coffee/tea,vegetables,,,,,,,,,,,,,,,,,
329,6/17/2000,poultry,butter,coffee/tea,hand soap,spaghetti sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,6/17/2000,vegetables,pasta,mixes,flour,sandwich loaves,cereals,hand soap,paper towels,shampoo,butter,sandwich bags,bagels,fruits,ice cream,soap,soda,bagels,juice,ketchup,soap,eggs,ketchup,fruits,sandwich loaves,cereals,milk,spaghetti sauce,vegetables,hand soap,mixes,,,,,
331,6/17/2000,pasta,bagels,cereals,milk,bagels,sandwich bags,flour,sandwich bags,mixes,shampoo,yogurt,tortillas,spaghetti sauce,toilet paper,hand soap,beef,lunch meat,yogurt,butter,dinner rolls,lunch meat,cheeses,butter,,,,,,,,,,,,
332,6/18/2000,laundry detergent,bagels,bagels,fruits,coffee/tea,coffee/tea,spaghetti sauce,cereals,soda,cheeses,fruits,beef,toilet paper,,,,,,,,,,,,,,,,,,,,,,
